Keyword,Source,Sentence,隐含情绪,情绪动机,置信度
月考,comment,有人和我拼吗,中性,无,low
月考,title,深大大一｜想和高考生说的话,焦虑,学业,medium
月考,content,不过无意中收获了很多善意，很多学长学姐们都在给我加油、给我提建议,正面,学业,low
月考,content,所以我也想给今年高考的小朋友们加加油,焦虑/正面,学业,medium
月考,content,🥰🤛🏻 #深圳大学#高考倒计时#高考不是结束而是新的开始#高考生#高考加油#广东高考#高考#学习#高考心态#女大学生#高考复习#高中#高三文科#新高考#高考逆袭#高考提分#我与高考的难忘经历#高考心态很重要#高考改变人生#高考不是终点#高考结束做什么#致高考#大学是场远航#文科生#高中生活,焦虑/正面,学业,high
月考,comment,大家还想看我哪方面的学习经验分享呢～,中性,无,low
月考,comment,营销号写文章推给我妈，她可能想照做，什么一定要送考生去考场,焦虑,家庭,high
月考,comment,一定要跟孩子一个拥抱,中性,无,low
月考,comment,啊啊啊天呐 你那篇笔记我刷到过 真的实现了 恭喜恭喜得偿所愿,中性,无,low
月考,comment,哇哇哇是kg学姐啊啊啊啊,中性,无,low
月考,comment,姐姐等我,中性,无,low
月考,comment,真的很想上深大,中性,无,low
月考,comment,姐姐我想问问深大美术生的分数线是多少啊,中性,无,low
月考,title,真的好多有钱人啊,中性,无,low
月考,content,#Sk月度盛典,中性,无,low
月考,comment,股票风投，洗钱回流灰产，要么就是行业头部，或者贪污的，要不然我实在想不到为什么有人能把钱这样花，正经做实体生意的处处需要钱周转不可能这样刷的,中性,无,low
月考,comment,其实中国有钱人真的挺多的真正想看大场面还得看个播，你看sk熬成这样最后最高也就不到两百万，有些奢侈品都不止这价格,中性,无,low
月考,comment,团播一月才打这一次，个播可是天天这么打,中性,无,low
月考,comment,很多ip还都不在国内,中性,无,low
月考,comment,有位dg我知道做什么的，真的很有实力,中性,无,low
月考,comment,其实看看个播就会知道还有你想不到的更多大佬，一两百万在咱们这很多，在人家那可能就是少买一个包，一块表,中性,无,low
月考,comment,放心吧 他们的钱 有你的一份力,中性,无,low
月考,comment,我都想在公屏发简历求职了md,中性,无,low
月考,comment,自从有了抖音，我发现有钱人真的很多,中性,无,low
月考,title,公主月考记录,焦虑,学业,medium
月考,content,期中考试完家长会老师也找我谈了一次话，也说在学校状态不如上个学期好，语文优势学科考试成绩也不太好，综合来说她没把学习放在首位，玩儿心太大，成绩在退步，得端正态度，老师和我们家长孩子一起努力,焦虑/自卑/正面,学业/自我,high
月考,content,#公主日记#努力是会有结果的#地生会考#月考复习#中考加油#初二下#主动学习#我是仙女儿我只是在历劫,焦虑/正面,学业,medium
月考,title,又好笑又心疼,中性,无,low
月考,content,就这个小么么棒,中性,无,low
月考,comment,好像小仓鼠,中性,无,low
月考,comment,吃什么了,中性,无,low
月考,comment,每次拉麦心都在跟着这个小么么哒揪着[完啦R][完啦R][完啦R][完啦R][完啦R],中性,无,low
月考,title,高三第一次月考，决定你的全年排名,焦虑,学业,medium
月考,content,高三第一次月考，是所有考试里最重要的一场——考好了信心拉满，考砸了心态直接崩,焦虑,学业,medium
月考,content,暑假重点抓这4章：函数打底、三角背公式、数列拿满分、导数提前预习,中性,无,low
月考,content,收藏起来，暑假照着学，开学直接用排名说话,焦虑,学业,medium
月考,content,#月考#高考逆袭#高考提分,焦虑/正面,学业,high
月考,content,#sk#sk公会赛#sk月度盛典,中性,无,low
月考,comment,没有了抱团打 就是刺激,中性,无,low
月考,comment,你预言了萱萱第三了,中性,无,low
月考,comment,现在13名有700万没有啊,中性,无,low
月考,comment,恋还多了个大哥更难打了哈哈,中性,无,low
月考,comment,评论区hz现身说法中,中性,无,low
月考,comment,赤伶舞蹈一出来，我就觉得稳了,中性,无,low
月考,comment,这么优秀的人真的很值得,中性,无,low
月考,comment,这下应该能结束了吧,中性,无,low
月考,title,sk5月月考排名与分值,焦虑,学业,medium
月考,content,从下午五点看到现在 好上头 我的流量在天上失望的看着我#sk月考#sk月度盛典,焦虑,学业,medium
月考,comment,那个是今天刚吸的吗，好宠,中性,无,low
月考,comment,现在多少票了,中性,无,low
月考,title,人大附高三十月月考,焦虑,学业,medium
月考,comment,老师看我,中性,无,low
月考,title,sk月考真爆冷,焦虑,学业,medium
月考,content,好多个平时很有票的今天怎么都没打 真的很意外 133 怎么一个都不打 #sk#sk月考,焦虑,学业,medium
