Keyword,Source,Sentence,Note_ID
准初三,content,快中考了这种成绩咋办🥹🥹#初三#月考,
准初三,comment,不用当严厉老师，只做两件小事就够了,
准初三,comment,他们更懂青春期的小情绪和压力，能站在孩子角度聊天，更容易被信任,
准初三,comment,其实不要急切的一直想提高每一科的成绩数学最简单，可以先提高数学，比如你提高到了90多分，后面也很难提高，你就可以继续换个科目慢慢提高，主要就是基础题，你基础好了，后面套公式做什么都简单,
准初三,comment,反正就是先紧着一个科目慢慢往高提，你自己想60分高还是90分高，像主科，基础题基本都占80分，剩下的就去积累，刷题看解析，做的多了，自然而然就会了,
准初三,comment,给自己定个目标，安排个作息表，你没有目标，你怎么学呢，你安排了，你就得去实际行动[抽泣R]现在就剩60天了，来得及，最多提高200分,
准初三,comment,ok谢谢啦，那你有没有买练习题来写呀,
准初三,comment,不客气啦我有练习题 你要是想花钱可以去买，不想花钱，网上就有,
准初三,comment,初三每天都要在学校上晚自习上到10点 回到家洗完澡快11点早上六点起床 个人基础比较薄弱 大多数题听一遍都不会很懂的那种 所以很怕打扰老师和同学的时间 和家长提出上晚辅班家长不同意 自己该怎么学好迷茫 也被家长打击到了现在有种不想学的心理了,
准初三,comment,我和她差不多,
准初三,comment,好谢谢你,
准初三,comment,我的天哪 你要补课吗 再不补就来不及了 如果自学有用成绩早就上来了,
准初三,comment,只要有学习的态度，做好规划，查漏补缺，完全来得及，珍惜当下,
准初三,comment,宝宝 数学不及格的话我个人建议还是先研究一下基础题吧选择题都是基础 然后填空最后一题偏难 每年中考其实题型差不多 我以我在的地区为例 基本上每年都考科学记数法 解不等式 轴对称 谁比谁小 圆等 我已经研究透了,
准初三,comment,边刷题边搞知识点 学专题 因为你现在初三了没时间一本书一本书刷了 而且刷完了也得会用呀 我这个方法适合于中考 因为咱们就搞定中考 中考题型不怎么变 这样我觉得提分很快 你不及格可能效果更明显[抽泣R],
准初三,comment,物化太拉分了宝宝,
准初三,content,还剩一百多天了有点慌,
准初三,comment,大家都是挑什么时间背诵的啊，我们政治有好多好多要背的，作业又很多，差不多上床的时候就十一点了，现在只能语文课偷偷背（bushi,
准初三,comment,我很喜欢在吃饭的时候看点东西，或许可以,
准初三,comment,所以这就是我们现在初3两个月发生了400块钱报警，7000块钱报警，抽电子烟跟女朋友去被老师发现，我觉得他们上九年级之后都太敢了,
准初三,comment,把校违规都做一遍，等我毕业的时候，我就要把除谈恋爱这一项，其他的染色什么之类的都给干一遍,
准初三,comment,那当然是把自己讨厌的人都骂一遍啊,
准初三,comment,讨厌的人已经好久不上学了但是有很气的一点是她跟老师说她不想来上学因为她一来就有人说她,
准初三,title,初中生放学回家不摆烂方法,
准初三,comment,太离谱了 这个作业没个3h写不完,
准初三,comment,21:50才放 咋办,
准初三,content,2. 色彩：牢记调色公式，每天练10分钟调色，避免调色偏暗、偏脏，画完后对比范画，找出差距,
准初三,content,3. 不跟别人比进度，只跟自己比提升，避免孩子压力太大，毕竟心态好，才能发挥好,
准初三,content,至中考生:备考路上，难免有迷茫时刻，但请一定相信，只要咬牙坚持下去，就一定能看见希望的曙光，学霸他也不是生来就是，再给自己一个机会，和他们再次同时起跑，这次一定拼命向前冲,
准初三,content,不留遗憾#快速提分#必考考点#知识点总结#初中学习方法#学霸养成#中考复习#学习方法很重要#学习技巧#学习规划#学习逆袭一起改变,
准初三,title,中考其实挺水的，初三生们别太焦虑了,
