Keyword,Source,Sentence,隐含情绪,情绪动机,置信度
偏心,title,韩星李智贤的灾难式育儿，,中性,无,low
偏心,comment,虽然我没有姐妹兄弟，但是我有朋友跟我说过父母偏心她妹妹，因为她妹妹长得白成绩好，她完全反过来,中性,无,low
偏心,comment,所以我理解你说得话,中性,无,low
偏心,comment,回复：我和我妈还讨论过，因为她只有我一个所以不管她怎么对我，我也没啥参照，一旦有了就会有偏向这一说，别说手心手背都是肉，十个手指还不一样齐呢，哪来的完全一碗水端平,焦虑,家庭,high
偏心,comment,这很正常,中性,无,low
偏心,comment,父母先是人才是父母，是个人都有人权，有趋利避害的本性,中性,无,low
偏心,comment,而对孩子而言，作为独生子女，因为是唯一选择，所以父母对你的好赖只能全盘接收，但是社会上谁会迁就你呢,中性,无,low
偏心,comment,我其实觉得多子女家庭让孩子从小就学会和人相处，考虑别人，具有社会性这并没什么坏处,中性,无,low
偏心,comment,当然父母是需要一碗水端平的,中性,无,low
偏心,comment,回复：上了班之后发现非独子女都很会争会抢，提前在家就可以熟悉社会规则,中性,无,low
偏心,comment,回复：很真实，这就是人性,中性,无,low
偏心,comment,回复：跟这个没关系，因为她父母觉得妹妹养老,中性,无,low
偏心,comment,回复：我弟小我13岁，我从小留守儿童，我弟不是，哥哥呵呵,中性,无,low
偏心,comment,我985，我弟初中辍学打游戏现在家啃老，但是在我妈心中我弟是最好的我永远比不上,自卑/焦虑,自我/家庭,high
偏心,comment,回复：天呐别这么说吧，我孩子如果这么想我会好心疼,中性,无,low
偏心,comment,非常现实的问题 你家就只能供一个小孩上大学，本来你有这个机会的，但因为过了一个小孩 要公平 所以你只能去打工,正面,学业,high
偏心,comment,试问谁愿意,中性,无,low
偏心,comment,我从小都想要个姐姐妹妹一起玩,中性,无,low
偏心,comment,我觉得这不难理解吧,中性,无,low
偏心,comment,回复：朋友跟姐妹的区别是什么,中性,无,low
偏心,comment,我的人脉生态位上兄弟姐妹那部分我的朋友完全可以代替,中性,无,low
偏心,comment,回复：而且不说保姆吧 一个独生小孩起码身边会有6个大人，我小时候就没有耳根清净的一刻 永远有大人在陪我玩，上学了身边又是一群同学，完全没有姐妹的位置,中性,无,low
偏心,comment,现在也是,中性,无,low
偏心,comment,还有以前政策其实是有倾向的，独生政策仅限于有正式工作的员工，农村政策上都是默认没有男丁可以多生，男丁代表着劳动力，我02年出生，07年妇联找到我妈说距离生完我已经五年了，我还是女孩，给我家分个二胎名额，我爸妈寻思多个小孩养老也挺好，然后08年我弟出生了，此后开启了长达十几年的双人PK,焦虑,家庭,high
偏心,comment,俺一个邻居九零后，连续生了三个孩子，没错，第三个是男孩，她说以后老了，老大没空去看他，老二去看，老二没空老三去,中性,无,low
偏心,comment,是的 还有越穷越生 生的多了 万一将来有一个出息的 不就能带他们享福了 说到底就是为了自己 自私,中性,无,low
偏心,comment,有 但是还是不想生,中性,无,low
偏心,comment,有 如果能跳过生的过程我真的想再是一个,中性,无,low
偏心,comment,这是我唯一的想法但是………不能因为这种想法就生第二个,中性,无,low
偏心,comment,当过姐姐的人真的会舍得自己女儿也做姐姐吗,中性,无,low
偏心,comment,反正我舍不得,中性,无,low
偏心,comment,很多被PUA到无条件为弟弟付出的姐姐啊她们不觉得自己可怜,中性,无,low
偏心,comment,这个还是得看爸爸妈妈，所以我们做爸妈的是最重要,中性,无,low
偏心,comment,分父母也分妹妹吧，我爸妈是把资源全给我，然后我自己看着分给妹妹，我妹妹性格像天使一样所以我也超级宠她，给她买东西比自己大方,焦虑,家庭,high
偏心,comment,但可能每家情况不一样,中性,无,low
偏心,comment,我家三姊妹，我爸妈对我们不偏心，所以我觉得我女儿当姐姐也没什么，我也不会让她让着弟弟妹妹，但是我跟老公能力有限，只能负责一个小孩，没有能力养几个小孩准备几套房子车子，所以只要我女儿一个，不会要第二个,焦虑,家庭,high
偏心,comment,我是姐姐，有个弟弟,中性,无,low
偏心,comment,友情和亲情一定没有,中性,无,low
偏心,comment,回复：亲情没有啊，你和你丈夫和孩子不都是亲情,中性,无,low
偏心,comment,我感觉孩子也需要他们自己的空间,中性,无,low
偏心,comment,有时候生两个也算是一种风险把控，只是大家会避讳失独话题觉得不吉利,中性,无,low
偏心,comment,回复：没有人炮轰你的，因为你说了实话,中性,无,low
偏心,comment,其实最扯的 就是那种“为了老大才生二胎的/生二胎是为了给老大作伴”的说法，其实最根本的原因都是父母自己想生，要么是风险把控，要么是繁衍欲在作祟,中性,无,low
偏心,comment,回复：我也觉得自己想要两个孩子就行了，不要说为了老大,中性,无,low
偏心,comment,是啊，我赞成你这个，总有家长能把利己的说成是利他的，把生二胎说成是给一胎做个伴，我给你再生个弟弟或者妹妹，实际上明明是家长自己想生的,中性,无,low
偏心,comment,如果能接受，那证明热评里说的亲情没有专一性,中性,无,low
偏心,comment,没有二妈，但是有爸啊,中性,无,low
偏心,comment,回复：不一样的，爸爸是另一种称号另一种身份了,中性,无,low
偏心,comment,体验到兄弟姐妹情的，一般都愿意二胎,中性,无,low
偏心,comment,背伤的那个都会选择独生,中性,无,low
偏心,comment,自己尝到的甜头，一定要会觉得两个孩子好,中性,无,low
偏心,comment,自己吃过的苦头，绝对不会让自己的孩子再经历一次，不管是哪个，所以只要一个,中性,无,low
偏心,comment,非常同意,中性,无,low
偏心,comment,很好奇你是老大还是老二呀,中性,无,low
偏心,comment,回复：我是老大哎，我觉得父母并没有偏心，我们姐妹感情无敌好,中性,无,low
偏心,comment,回复：是妹妹，也是姐姐,中性,无,low
偏心,comment,其实老二也挺惨，一天独宠没享受过，生下来就被平衡,中性,无,low
偏心,comment,“老大照书养，老二照猪养”，老二从来都不会享受到那种备受瞩目的时刻,中性,无,low
偏心,comment,皇太子除外啊,中性,无,low
偏心,comment,回复：选不选择生老二也是人家两口子的事,中性,无,low
偏心,comment,别人评判不了,中性,无,low
偏心,comment,生二胎就是一种选择，没有对错,中性,无,low
偏心,comment,独生都不想到这种形容词，因为父母和子女不分你我,委屈,家庭,high
偏心,comment,只有需要“分享”的家庭才会出现，你一半我一半这种争执,中性,无,low
偏心,comment,以及我遇到的大部分独生家庭的孩子都更乐于分享，或者说不计较得失,中性,无,low
偏心,comment,回复：都会有的，但是一些“独生女”的言论确实有些傲慢和短浅，没有必要这样攻击的,中性,无,low
偏心,comment,回复：就是之前就有博主说他爸爸兄弟姐妹六个，把他爷奶送养老院，每家只需出500,中性,无,low
偏心,comment,这个问法本身就有问题，跟孩子数量没关系，生育主体是妈妈，如果生那么生一次龙凤胎是最好的,中性,无,low
偏心,comment,回复：第一次都不会,中性,无,low
偏心,comment,回复：那不是没钱的问题么,中性,无,low
偏心,comment,早上刚刷到一个说老大和她不亲但是和奶奶亲的，仔细一看几个月就被丢给奶奶带，在处理不好工作婚姻等情况下还执意生二胎并且自己带二胎，老大能亲她才怪了,中性,无,low
偏心,comment,她自己根本意识不到偏心了，很多人觉得自己没偏心就是没意识到罢了,中性,无,low
偏心,comment,回复：对 是那个,中性,无,low
偏心,comment,回复：我真的服了，老大十个月就给婆婆带了，生了二胎就嫌弃三岁的老大，美其名曰尊重她的感受，我琢磨着她需要妈妈的时候，你这二胎不还是想生就生么,愤怒,社会,medium
偏心,comment,难道你们没有想过吗,中性,无,low
偏心,comment,如果大家都生一个，人就会越来越少，人类社会就会逐步灭亡了,中性,无,low
偏心,comment,不会，因为不可能，总有人想生一个，有人想生多个，有人想丁克，人是多样性的，灭亡有很多种可能，因为不生灭亡的可能性为几乎为0,中性,无,low
偏心,comment,恐龙灭绝是因为不生蛋嘛,中性,无,low
偏心,comment,那真是大喜事,中性,无,low
偏心,comment,他们需要时我在，需求冲突时可以协调，他们长大需要独立时我退出，他们想去哪里我都支持，他们总有一天会独立的过着自己的生活，我和我老头儿就相伴了此余生,正面,学业,low
偏心,comment,等我们百年之后，俩个孩子遇到事情互相商量，能相聚也能依靠，想起我们的时候可以一起喝酒怀念，从哪个角度来说，有亲生的兄弟姐妹都不是坏事,中性,无,low
偏心,comment,父母平等的对待孩子们，完全可以避免这个问题,中性,无,low
偏心,comment,而且单说财产…我可以选择给也可以选择不给，非要争我就死之前花完，谁都别吵吵,焦虑,生活,high
偏心,comment,你别忘了他们俩都会有自己的家庭，会因为资源开始竞争关系更多的是闹矛盾而不是相互商量，估计以后相互商量的只有自己的老婆,中性,无,low
偏心,comment,回复：生活是自己奋斗的，父母能给的就是这样，父母做到不厚此薄彼就可以了，通天的关系也给不了，剩下的靠自己吧,委屈,家庭,high
偏心,comment,人的一生有很多关系，亲子、夫妻、手足、朋友，你会因为商量事情只跟老婆商量，就不要朋友了吗,中性,无,low
