Keyword,Note_ID,Source,Sentence,label,情绪类型,隐含情绪,情绪动机,置信度
准初三,,content,快中考了这种成绩咋办🥹🥹#初三#月考,1,显性,,,
准初三,,comment,不用当严厉老师，只做两件小事就够了,1,显性,,,
准初三,,comment,他们更懂青春期的小情绪和压力，能站在孩子角度聊天，更容易被信任,1,显性,,,
准初三,,comment,其实不要急切的一直想提高每一科的成绩数学最简单，可以先提高数学，比如你提高到了90多分，后面也很难提高，你就可以继续换个科目慢慢提高，主要就是基础题，你基础好了，后面套公式做什么都简单,1,显性,,,
准初三,,comment,反正就是先紧着一个科目慢慢往高提，你自己想60分高还是90分高，像主科，基础题基本都占80分，剩下的就去积累，刷题看解析，做的多了，自然而然就会了,1,显性,,,
准初三,,comment,给自己定个目标，安排个作息表，你没有目标，你怎么学呢，你安排了，你就得去实际行动[抽泣R]现在就剩60天了，来得及，最多提高200分,1,显性,,,
准初三,,comment,ok谢谢啦，那你有没有买练习题来写呀,1,显性,,,
准初三,,comment,不客气啦我有练习题 你要是想花钱可以去买，不想花钱，网上就有,1,显性,,,
准初三,,comment,初三每天都要在学校上晚自习上到10点 回到家洗完澡快11点早上六点起床 个人基础比较薄弱 大多数题听一遍都不会很懂的那种 所以很怕打扰老师和同学的时间 和家长提出上晚辅班家长不同意 自己该怎么学好迷茫 也被家长打击到了现在有种不想学的心理了,1,显性,,,
准初三,,comment,我和她差不多,1,显性,,,
准初三,,comment,好谢谢你,1,显性,,,
准初三,,comment,我的天哪 你要补课吗 再不补就来不及了 如果自学有用成绩早就上来了,1,显性,,,
准初三,,comment,只要有学习的态度，做好规划，查漏补缺，完全来得及，珍惜当下,1,显性,,,
准初三,,comment,宝宝 数学不及格的话我个人建议还是先研究一下基础题吧选择题都是基础 然后填空最后一题偏难 每年中考其实题型差不多 我以我在的地区为例 基本上每年都考科学记数法 解不等式 轴对称 谁比谁小 圆等 我已经研究透了,1,显性,,,
准初三,,comment,边刷题边搞知识点 学专题 因为你现在初三了没时间一本书一本书刷了 而且刷完了也得会用呀 我这个方法适合于中考 因为咱们就搞定中考 中考题型不怎么变 这样我觉得提分很快 你不及格可能效果更明显[抽泣R],1,显性,,,
准初三,,comment,物化太拉分了宝宝,1,显性,,,
准初三,,content,还剩一百多天了有点慌,1,显性,,,
准初三,,comment,大家都是挑什么时间背诵的啊，我们政治有好多好多要背的，作业又很多，差不多上床的时候就十一点了，现在只能语文课偷偷背（bushi,1,显性,,,
准初三,,comment,我很喜欢在吃饭的时候看点东西，或许可以,1,显性,,,
准初三,,comment,所以这就是我们现在初3两个月发生了400块钱报警，7000块钱报警，抽电子烟跟女朋友去被老师发现，我觉得他们上九年级之后都太敢了,1,显性,,,
准初三,,comment,把校违规都做一遍，等我毕业的时候，我就要把除谈恋爱这一项，其他的染色什么之类的都给干一遍,1,显性,,,
准初三,,comment,那当然是把自己讨厌的人都骂一遍啊,1,显性,,,
准初三,,comment,讨厌的人已经好久不上学了但是有很气的一点是她跟老师说她不想来上学因为她一来就有人说她,1,显性,,,
准初三,,title,初中生放学回家不摆烂方法,1,显性,,,
准初三,,comment,太离谱了 这个作业没个3h写不完,1,显性,,,
准初三,,comment,21:50才放 咋办,1,显性,,,
准初三,,content,2. 色彩：牢记调色公式，每天练10分钟调色，避免调色偏暗、偏脏，画完后对比范画，找出差距,1,显性,,,
准初三,,content,3. 不跟别人比进度，只跟自己比提升，避免孩子压力太大，毕竟心态好，才能发挥好,1,显性,,,
准初三,,content,至中考生:备考路上，难免有迷茫时刻，但请一定相信，只要咬牙坚持下去，就一定能看见希望的曙光，学霸他也不是生来就是，再给自己一个机会，和他们再次同时起跑，这次一定拼命向前冲,1,显性,,,
准初三,,content,不留遗憾#快速提分#必考考点#知识点总结#初中学习方法#学霸养成#中考复习#学习方法很重要#学习技巧#学习规划#学习逆袭一起改变,1,显性,,,
准初三,,title,中考其实挺水的，初三生们别太焦虑了,1,显性,,,
准初三,,content,其实中考并没有那么难，初三的宝子们别太焦虑了，整理了贴合中考的备考思路，放平心态，按计划稳步复习，抓牢重点知识点，就能从容应对中考～#备战中考 辣妈育儿经 #学霸秘籍#家长收藏孩子受益#初中学习方法#初三#学习经验#知识点总结#家有初三 #中考复习中考-,1,显性,,,
准初三,,content,初三了有种清醒的堕落感怎么办[完啦R]#备战中考#学习动力不足#中考#学习心态调整,1,显性,,,
准初三,,comment,语文100 数学113 英语75 物理53（折后） 化学25（折后） 历史43 道法72这种分数应该怎么提分啊[完啦R],1,显性,,,
准初三,,comment,和你差不多但历政反过来的😭,1,显性,,,
准初三,,comment,线下好的没有打听到 线上又怕被骗[完啦R],1,显性,,,
准初三,,comment,那应该到我焦虑了，我成绩比你更低低很多，没几科是及格的,1,显性,,,
准初三,,comment,我也，而且被老师给予厚望完全不敢松懈,1,显性,,,
准初三,,comment,初中的物化政史真的蛮简单的，我觉得你应该和我当时情况差不多，就是没人看着就完全不想学，可以试试让家长报一对一补补课，不一定要一直补，化学物理的每个题型都是有套路的，让老师给你讲明白or自己弄明白这几个题型的应对方法再跟着学校进度学就好了,1,显性,,,
准初三,,comment,其他科目其实我并没有找到什么学习方法就是跟着学校走，最后也考上了市里最好的高中最后祝你前程似锦啦宝宝，希望你能考上心仪的高中,1,显性,,,
准初三,,comment,好的好的 谢谢你因为老师没说我之前完全没有背过化学历史之类的 明天就开始背,1,显性,,,
准初三,,comment,历史选择题得自己分析错因，看看自己是因为不熟悉知识点的史实错误的还是材料理解偏差导致选错的，如果是前者那还是要熟悉课本知识，后者的话就要看答案解析/拿着卷子去问老师搞清楚自己为什么做错才是最重要的我觉得拿着卷子去挨个问老师真的能解决绝大多数的疑问，而且也会记得比较深刻,1,显性,,,
准初三,,comment,学姐（或者学长）我想问问就是物理化学基础特别差，现在老师复习上课一点都听不懂自己怎么补知识[完啦R]网课太长时间听不完，我感觉看不懂物理好难,1,显性,,,
准初三,,comment,嗯这个的话你可以去找班里学习好的人借笔记，对着笔记和课本结合理解一下知识点，然后理解不了的知识点再看网课去补，这样比较省时间借不到笔记的话买一本万维的基础知识看也可以，然后就是要把每个知识点跟题型对应上去学，太难的题不用强迫自己一定要做出来，把基础题和中等题做对就好，落的分往擅长的科目找补（是学姐）,1,显性,,,
准初三,,comment,谢谢学姐我准备一节一节听网课[抽泣R],1,显性,,,
准初三,,comment,好哒，谢谢学姐鼓励[抽泣R][抽泣R]也祝学姐学业进步，生活愉快,1,显性,,,
准初三,,comment,就是不想学不想写 考砸了也不想学总想玩手机 现在月考甚至不太想复习了但又很焦虑中考（就是特别想学又学不进去,1,显性,,,
准初三,,comment,我也这样我不知道咋办我其实初一成绩还可以吧中等偏上 现在只能算中等了 因为新加了物理化学 这两门加上数学能被拉一百分左右了,1,显性,,,
准初三,,comment,分到了全校最差班，现在啥也不学，之前八年级还焦虑，现在完全啥也不学习班里面化学没一个及格的，每次都是倒数第一，老师也不管,1,显性,,,
准初三,,comment,我也是最差班,1,显性,,,
准初三,,title,真的不知道初三牲在焦虑什么……,1,显性,,,
准初三,,content,本初三牲现状╰(⇀‸↼)╯ 十四岁以前过的顺风顺水 众星捧月，考过班2年12，心高气傲地曾想要超过所有人,1,显性,,,
准初三,,content,可是只有自己知道自己没有付出很多努力，反而看着别人努力进步自己着急……步入九下，总是容易被别人影响，怕别人卷自己超过自己，心里特别浮躁着急，可正当自己做事又做不进去沉不下心,1,显性,,,
准初三,,content,明明可以考重高，但总因为心态犹豫不前，时常焦虑我真的快崩溃了_(:з」∠)_ 简单来说 问题1️⃣ 看见别人学习我就慌,1,显性,,,
准初三,,content,可能是嫉妒心作祟，看到那些曾经学习成绩不如我的逐渐靠近我 超过我，我心里多多少少会很不甘,1,显性,,,
准初三,,content,比方看到别人内卷我心里会兵荒马乱…… 并且学习的时候总因为关注别人而没办法专心做事，导致我常想把事情做好，但心有余而力不足 问题2️⃣ 有目标or无目标，我真的很迷茫,1,显性,,,
准初三,,content,可能是八下那段时间很压抑，我不想再那么狠逼自己,1,显性,,,
准初三,,content,我之前想考重高，可我又担心上了重高因为自己心态问题承受不住压力（我抗压能力不是很好）所以我畏缩了，我又想着要是考当地普高的奥赛班，但环境师资又是另一说……我目前就读于一所每学期学费一万多的私立学校 是我们当地最好的初中且升学率很高，我在里面算成绩不错的,1,显性,,,
准初三,,content,但就是很迷茫，就像一只小帆船在茫茫大海上，我既没有前进，也没有后退，徘徊在海面上，只是眼睁睁看着别人坚定朝自己目标驶去，我也只能随着大流方向茫然前行 有人说“没有目标的生活 是向机会投降”,1,显性,,,
准初三,,content,每当我定下目标，我心里就恐慌，又有心理压力了 敏感细腻+想太多+自信时有时无+易焦虑体质+急于求成+老妈遗传的急性子……我tm简直buff叠满,1,显性,,,
准初三,,content,咋感觉上了高年级越来越急功近利，只是追求分数和夸赞而不是去注重过程,1,显性,,,
准初三,,comment,亲爱的楼主小妹妹，看看这个阿姨写的，祝福你顺利噢,1,显性,,,
准初三,,comment,谢谢阿姨,1,显性,,,
准初三,,comment,求原图，谢谢,1,显性,,,
准初三,,comment,礼貌求原图 谢谢谢谢,1,显性,,,
准初三,,comment,我也不知道我为什么会这样也许是不甘也许是害怕 害怕自己越来越后面 虽然一直都想努力 但老是集中不了意志力 感觉自己一直都没有努力，，可是老是找不到状态 再这样下去我都不知道呢能不能上高中了，，真的很容易被外界影响啊怎么办,1,显性,,,
准初三,,comment,我前一周也这样 但我也是自己调节过来了心态豁达无所谓一点 别人超了就超了吧 反正又不是中考 名次起伏很正常 不要执着着分数名次不放 这会让你急功近利 忽略过程在乎结果如果浮躁 建议你练字静心 或者去公园散步 写写日记 和信任的人聊天 听歌等等来转移注意力 还有运动 出汗了你会感觉好多了 静下来后就多做事 别想结果这些 不要想考哪个高中 考到哪算哪 不要想自己跟别人的差距 做自己的事……各种让你感到焦虑的想法通通摒弃 只有解决问题才能让你踏实安心宝贝 如果你觉得自己之前成绩那么好现在下降了 可能会感觉自己努力白费 但是你对之前的知识更熟悉啊 复习起来更轻松 而且掌握,1,显性,,,
准初三,,comment,姐妹 我真的和你特别像 八年级上下册 我一直稳定在班级前三年级前五十 九年级上册 变成了班级前五 最差的一次就是期末 掉到了第十八名 从那个时候开始 我就有些迷茫和焦虑 最近的第一次月考也才考了第九名 年级117 天天都在很焦虑 身边同学都很卷 单是九年级学校发的资料他们也已经写一大半了 但这也有我不怎么努力的原因 感觉心里每次都是想好要做什么却还是会想着下次 没有一个学习的劲 老师 父母 都对我的期望很高 都希望我考上市重点高中 周围高压的环境 让我无时无刻都不在焦虑 边焦虑边放纵自己 意志也很不坚定 看到别人学习也会不安 每次想着下了晚自习就回家写题 但回家一拿到手机也根本放不下,1,显性,,,
准初三,,comment,宝子，语文和历史怎么学啊你考得好高我之前也有过90多现在会回都是80几，而且我的状态也很迷茫,1,显性,,,
准初三,,comment,语文 我觉得中上的同学可以专攻基础 上一百的话需要长期积累，成绩好起来它是需要一个过程的，不用急,1,显性,,,
准初三,,comment,你可以每天就在上面摘抄一两个你喜欢的句子，积少成多，你的作文也就不愁没佳句，还有多看范文，看范文不只是看人家的故事多么引人入胜，着重看人家的结构层次 好词好句 偷偷记下来如果你写作文实在没事情可以写 那么久从别人的范文里面 背下来他写的那个事情,1,显性,,,
准初三,,comment,我女儿跟你一摸一样刚刚把你写的给她看了，看完她就笑了，跟她目前的心态完全一致，她这次三调没考好就因为心态崩了，哎，着急,1,显性,,,
准初三,,comment,我也是心态崩了 感觉做啥都没动力……也不知道考个好高中进去还是那么大压力有什么意义这个清明假我也没怎么学习 一提到学习我就抗拒 看着自己清醒的堕落我也太难受了,1,显性,,,
准初三,,comment,额如果浙江这个分数不慌你就上烂高中吧起码重高和第二第三的普高你是无缘了,1,显性,,,
准初三,,comment,也不知道为什么呀，应该是考试太多麻木了吧，我觉得我现在心理很松弛，前几天刚考的校一模，一点紧张都没有，考完也很平静 成绩出来了也很平静，就是很奇怪啊，但是我们全班都这样,1,显性,,,
准初三,,comment,老师，语文和物化基础不好怎么办,1,显性,,,
准初三,,content,多数娃“理科稍强、文科拖后腿”，盲目补弱白费力，整理各年级核心重点，家长直接抄作业✅ 📌初一：打牢基础，规避分化 核心补弱：语文、英语（文科基础薄弱，校内拓展不足） 辅助补弱：地理、生物（提前预热，避免后期会考慌） ✨补充：初一校内重基础，语文英语缺乏拓展，不补易分化,1,显性,,,
准初三,,content,📌初二：补弱提优，应对难度飙升 核心补弱：语文（阅读+作文）、英语（语法+阅读）、地理/生物（会考冲刺） 按需补弱：数学（仅基础薄弱生） ✨补充：初二文科差距拉大，地理生物会考在即，校内课时不足，不补易拉低总分,1,显性,,,
准初三,,content,初三的你是不是觉得数学像一座待攀登的山🏔️别怕，这座山的存在，是为了让你看见更远的风景✨ 🚀 模块三：压轴攻坚区｜第23-25题｜抢分至上,1,显性,,,
准初三,,comment,3 22羡慕,1,显性,,,
准初三,,comment,應該是深圳的學生吧 我倒是覺得這個標準挺不錯的 但可惜我不在這考試,1,显性,,,
准初三,,comment,说每天练就能满分的人，希望你们好好听讲，中考也能满分,1,显性,,,
准初三,,comment,体质不好就剥夺上好学校的权利，是现在人才太多了嘛,1,显性,,,
准初三,,comment,现在都快没人了🆘,1,显性,,,
准初三,,comment,我的天呐，北京八百三分五十五我们都难受，那些规定三分出头的真的要人命吧,1,显性,,,
