Keyword,Source,Sentence,隐含情绪,情绪动机,置信度
准初三,title,给准初三的建议（无广不卖课）,中性,无,low
准初三,comment,其实不用一直硬塞知识点，找个靠谱的 985、211学长学姐 陪着孩子就很好,中性,无,low
准初三,comment,一是教孩子怎么学，而不是直接给答案，怎么规划时间、怎么整理错题、怎么高效复习，把学习方法理顺了，比补多少知识点都管用,焦虑,学业,medium
准初三,comment,慢慢让孩子自己会学、愿意学,中性,无,low
准初三,comment,二是像朋友一样陪着，不摆架子,中性,无,low
准初三,comment,弱科慢慢补，强项往上提，好习惯一点点养起来,中性,无,low
准初三,comment,平时再聊聊大学生活、聊聊未来，孩子心里自然会生出向往：原来努力一点，真的可以去更好的地方,正面,学业,low
准初三,comment,学习的动力从来不是逼出来的，是被优秀的人带着、陪着、慢慢影响出来的,中性,无,low
准初三,comment,能帮我介绍一个学霸吗,中性,无,low
准初三,comment,我家需要,中性,无,low
准初三,comment,求推荐[亲一个R],无助,学业,high
准初三,comment,我家也要，直接给你发个信息就可以吗,中性,无,low
准初三,comment,帮我介绍一个可以吗,中性,无,low
准初三,comment,给你发信息了,中性,无,low
准初三,comment,语文也很好提，就是背古诗之类的，文言文考得多的,中性,无,low
准初三,comment,wo p p,中性,无,low
准初三,comment,hello我想问问你学习的时候每天的计划大概是个什么样的，现在感觉跟无头苍蝇一样这复习一下那复习一下,中性,无,low
准初三,comment,我放假每天复习都按固定节奏来，不盲目乱学的，早上不用起太早（9点起来）用来背英语单词和古诗文和小四门基础知识点，晚上先列好三项核心任务，重点做数理化基础和错题，再简单复盘当天内容，只抓基础分，不钻难题，任务清晰不杂乱，效率会高很多,焦虑,学业,medium
准初三,comment,上学的话白天跟着老师上课，自习课专攻薄弱科的基础题,焦虑,学业,medium
准初三,comment,就赶紧学基础遗漏点，然后背，做套卷，别只刷练习册类型的题,中性,无,low
准初三,comment,化学25没学吧😂,中性,无,low
准初三,comment,政史天才,中性,无,low
准初三,comment,加油加油,正面,学业,high
准初三,comment,主科 特别好提,中性,无,low
准初三,comment,地理生物实验微机104 我们这边重点去年666 普高650左右 满分八百,中性,无,low
准初三,comment,英语的话宝宝你能看懂文章吗,中性,无,low
准初三,comment,政治历史哪里错的多呀 我觉得上50没问题,中性,无,low
准初三,comment,310分的我从未想过能有这样的突破，70天咬牙坚持，真的实现了566分的目标,中性,无,low
准初三,comment,hello想问问你复习的时候每天的计划大概是什么样的,中性,无,low
准初三,comment,可以给你分享一些提分技巧,焦虑/正面,学业,high
准初三,comment,可以试试全托，新华区有一家全托挺好的,正面,生活,medium
准初三,comment,我有好方法,中性,无,low
准初三,comment,跟我一样，我大城的，去机构补课，补数学化学，数学还两个月应该能提到80，化学很好学的，55不成问题，物理我是自己做课本的题，能到及格分，剩下的每天跟老师进度就行,焦虑,家庭,medium
准初三,comment,多看看基础吧 如果有试卷理科就注重前三大题看看结果 如果有不会 可以问问我,中性,无,low
准初三,comment,我可以问你吗,中性,无,low
准初三,comment,我自己整理了一些学习biji 和方法技巧，不嫌弃可以给你,中性,无,low
准初三,comment,hello能发给我看看吗👀,中性,无,low
准初三,title,初三有没有啥必干的事,中性,无,low
准初三,content,大家有什么建议吗（什么方面都可以） #中学生#初中#建议#高中,中性,无,low
准初三,comment,只有早读背诵六点四十五到校到正式早读要二十五分钟，把一些政治背完（或者前一天不太扎实的学科）历史我是认真上完课就不会忘掉了,中性,无,low
准初三,comment,我们政历都是开卷但是背诵的话，可以当场讲过，就记住一部分，然后写作业的时候再巩固一遍，周末放假的时候再记一遍（个人观点）,中性,无,low
准初三,comment,睡前和早读的时候吧,中性,无,low
准初三,comment,我平时睡前会读10分钟，不管多晚都会读10分钟，然后早起来吃饭的时候看两眼，到学校再稍微复习一下就可以背下来了,中性,无,low
准初三,comment,早上到学校极限背，只能说绝境激发潜能,中性,无,low
准初三,comment,我11点半吃完饭背到1点左右，中午睡觉前看一遍，课上背一遍,中性,无,low
准初三,comment,自习课或者下课的时候,中性,无,low
准初三,comment,那当然是违纪啊,中性,无,low
准初三,comment,都快毕业了必须把必玩榜玩一遍,中性,无,low
准初三,comment,笑死我了,正面,人际,low
准初三,comment,笑死这个哈哈哈哈哈哈哈,正面,人际,low
准初三,comment,小处分好像可以销的吧,中性,无,low
准初三,comment,我不清楚，但是这句话九年义务教育我听了十年,中性,无,low
准初三,comment,Caspian（限流回家）,中性,无,low
准初三,comment,毕业就消掉了,中性,无,low
准初三,comment,嘿嘿,中性,无,low
准初三,comment,赶紧睡觉吧大姐,中性,无,low
准初三,comment,初一初二没入团，初三还要考虑吗,中性,无,low
准初三,comment,入团不是只能成绩好的入吗,中性,无,low
准初三,comment,初三最没必要纠结的就是入不入团,中性,无,low
准初三,comment,确实，初二就入了,中性,无,low
准初三,comment,我们学校那个石榴我馋很久了，毕业就去摘,中性,无,low
准初三,comment,我们啥必也有要干事的,中性,无,low
准初三,comment,当然啦，我们啥必也是要干事的,中性,无,low
准初三,comment,有的有的，我们啥必也是要干事的,中性,无,low
准初三,comment,多拍点照片吧嗯,中性,无,low
准初三,comment,这个是真心动,中性,无,low
准初三,comment,我们学校不准带电子产品(つ﹏<,委屈,学校,high
